Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
93345f9e-85f5-a5fc-2ec5-c6dcced016e1,2022-06-07,,999-62-8208,,,,Lou594,Roscoe437,Windler79,,,,asian,nonhispanic,M,Hidden Meadows  California  US,604 Pfannerstill Port Unit 19,San Francisco,California,San Francisco County,6075,94105,37.72464041484561,-122.41527021368427,20780.35,22342.36,187022
1c3f69d6-2511-12a5-e461-8fab660d794e,2017-07-19,,999-18-9548,,,,Xuan162,Phebe144,Simonis280,,,,white,nonhispanic,F,Manteca  California  US,961 Tremblay Highlands Apt 10,Roseville,California,Placer County,6061,95746,38.77699657948935,-121.19888041546896,9944.92,3965.02,125969
439eadf7-3c9e-7cfc-3cef-fdf65d00e2e8,2018-08-28,,999-99-1468,,,,Ross213,Ollie731,Zboncak558,,,,white,nonhispanic,M,Taft Heights  California  US,134 Casper Estate Unit 55,Westlake,California,Los Angeles County,6111,91361,34.154442247563615,-118.82985745868086,1052.04,25308.32,27966
05d2f270-eedb-05da-1803-bf58eb74d6d8,2019-07-09,,999-70-7595,,,,Lionel365,Seymour882,Yundt842,,,,black,hispanic,M,Simi Valley  California  US,957 Schimmel Row,Los Angeles,California,Los Angeles County,6037,91324,34.092801732384295,-118.34266869886997,650.00,10704.56,17907
9dec219a-e321-bf07-2b6b-9c3afd90f0a4,2010-06-15,,999-54-7038,,,,Josh874,,Collier206,,,,white,nonhispanic,M,Los Angeles  California  US,583 Koepp Bridge Suite 3,Los Angeles,California,Los Angeles County,6037,90049,34.3265953861421,-118.49496962512588,40430.77,31656.28,459952
2e3ea5f2-6603-8aec-cf2e-185d82330e8d,1996-05-19,,999-63-3178,S99983859,X20858798X,Mr.,Antony83,Clement78,Heller342,,,S,white,nonhispanic,M,Tracy  California  US,110 Green Gateway,Fontana,California,San Bernardino County,6071,91739,34.069709252837676,-117.44879939794485,330629.94,278850.25,97608
05bd1aa6-7f0e-6f79-403c-8d4174f271aa,2000-10-13,,999-17-5217,S99946981,X14284684X,Ms.,Lucilla742,Justa309,Satterfield305,,,,white,nonhispanic,F,Vallejo  California  US,285 Lind Mill Unit 40,Arden-Arcade,California,Sacramento County,,00000,38.574913667483905,-121.3348929641493,117219.90,292064.37,95460
c54c1104-a32a-d890-0b56-077f082a8678,1986-12-27,,999-79-8932,S99929378,X83410998X,Mr.,Willard975,,O'Connell601,,,M,black,hispanic,M,Fresno  California  US,345 Auer Green,Los Angeles,California,Los Angeles County,6037,90047,34.08516444619886,-118.25311670911846,12334.38,291612.68,13828
8c5a8131-3ba6-80b2-11b9-695b725c3e33,2011-12-12,,999-22-7690,,,,Jorge203,Andrés117,Sevilla788,,,,asian,hispanic,M,Roseau  Saint George  DM,447 O'Reilly Trailer,McFarland,California,Kern County,6029,93250,35.616306850813096,-119.24393275709022,3200.00,123386.46,34007
cd86b11f-bbdc-642c-28d2-bc14ba4a457e,1991-04-10,,999-55-7244,S99964495,X6732475X,Ms.,Nanci249,,Thompson596,,,S,white,nonhispanic,F,Mead Valley  California  US,921 Torphy Meadow Apt 77,San Diego,California,San Diego County,6073,92117,32.78151493588878,-117.19068253147786,161302.27,573350.91,151689
